大項目	中項目	小項目	Prompt
エフェクト	エフェクト	エフェクト	effect
エフェクト	エフェクト	メタルスクラッチ	metal scratch
エフェクト	オブジェクト	吊り下げられた	suspended crystal
エフェクト	オブジェクト	吊り下げられた無色の	suspended colorless crystal
エフェクト	グロテスク	ブラッドミスト	blood mist
エフェクト	グロテスク	血の霧	blood fog
エフェクト	グロテスク	血まみれの水	bloodwater
エフェクト	グロテスク	血液をはねかける	splashing blood
エフェクト	グロテスク	血液雨	blood rain
エフェクト	グロテスク	血液滴	blood drop
エフェクト	グロテスク	血痕	bloodstain
エフェクト	グロテスク	絶妙な血	exquisite blood
エフェクト	シンボル	バラ	bara
エフェクト	シンボル	バラ2	not rose
エフェクト	シンボル	音符	musical note
エフェクト	シンボル	空中に浮かぶ羽	feathers floating in the air
エフェクト	シンボル	五gram星	pentagram
エフェクト	シンボル	紙吹雪	confetti
エフェクト	シンボル	宙に舞う羽	feathers
エフェクト	シンボル	宙に舞う羽	floating feathers
エフェクト	シンボル	錨マーク	anchor symbol
エフェクト	シンボル	薔薇	rose
エフェクト	デザイン	古典的な装飾境界線	classic decorative border
エフェクト	液体	すべてが流れて溶けます	everything flowing melt
エフェクト	液体	液体	liquid body
エフェクト	液体	汗	sweat
エフェクト	液体	汗のしずく	sweatdrop
エフェクト	液体	血液	blood
エフェクト	液体	多くの汗	many sweat
エフェクト	液体	唾液腺,唾液ブリッジ	saliva trail
エフェクト	液体	飛び散る汗	flying sweatdrops
エフェクト	液体	飛沫	splash
エフェクト	液体	飛沫2	splashing
エフェクト	液体	油	oil
エフェクト	炎	いい感じの炎	flame painter
エフェクト	炎	ハナビ	hanabi
エフェクト	炎	ファイアバタフライ	fire butterflys
エフェクト	炎	渦巻く炎	flame whirlpool
エフェクト	炎	炎	flames
エフェクト	炎	煙がメイン火薬の煙	smoke of gunpowder
エフェクト	炎	火	fire
エフェクト	炎	火がメイン火薬の煙	gunpowder smoke
エフェクト	炎	火の雲	fire cloud
エフェクト	炎	火の翼	wings on fire
エフェクト	炎	火炎	flame
エフェクト	炎	火花	spark
エフェクト	炎	花火	fireworks
エフェクト	炎	周りに炎	flames around
エフェクト	炎	絶妙な炎	exquisite flame
エフェクト	炎	爆発	explosion
エフェクト	炎	飛び火	flying sparks
エフェクト	煙	かすんだ霧	hazy fog
エフェクト	煙	煙	smoke
エフェクト	煙	湿気	humid
エフェクト	煙	蒸気	steam
エフェクト	金属	チェーンストーム	chain storm
エフェクト	金属	銀と金を溶かす	melting and
エフェクト	金属	溶融鉄のスパッタ	sputtemoltiron
エフェクト	金属	流れる鉄	flowing iron
エフェクト	光	ティンダル効果	tyndall effect
エフェクト	光	ブルーム効果	bloom effect
エフェクト	光	フレア	flare
エフェクト	光	ライトシャフト	light shafts
エフェクト	光	華麗な光	brilliant light
エフェクト	光	貴重な屈折	precious refraction
エフェクト	光	輝きを深める輪郭	contour deepening glow
エフェクト	光	屈折	refraction
エフェクト	光	蛍光	fluorescence
エフェクト	光	蛍光紫	fluorescent purple
エフェクト	光	光の粒子	light particles
エフェクト	光	光学現象	optical phenomena
エフェクト	光	波の輝く光	glistening light of waves
エフェクト	光	発光	luminescence
エフェクト	光	反射的	reflective
エフェクト	光	粒子	particle
エフェクト	光	輪郭の深化	contour deepening
エフェクト	自然	花が疲れます	flowers tire
エフェクト	自然	花びらが舞う	falling petals
エフェクト	自然	飛ぶ花びら	flying petals
エフェクト	状態	溶けた	melt
エフェクト	状態	流れる透明な黒	flowing transparent black
エフェクト	状態	流れる透明な白	flowing transparent white
エフェクト	水系	バブル	bubble
エフェクト	水系	花の泡	flowery bubbles
エフェクト	水系	小さな渦	small whirlpool
エフェクト	水系	水	water
エフェクト	水系	水スプレー	water spray
エフェクト	水系	水ブルーム	water bloom
エフェクト	水系	水をはねかける	splashing water
エフェクト	水系	飛ぶスプラッシュ	flying splashes
エフェクト	天体	アレイスター	array stars
エフェクト	天体	ゴッドレイ	god ray
エフェクト	天体	スターリバー	star river
エフェクト	天体	ブラックホール	blackhole behind the girl
エフェクト	天体	より透明な星	more transparent stars
エフェクト	電気	稲妻チェーン	lightning chain
エフェクト	電気	稲妻効果	lightning effect
エフェクト	電気	手からの稲妻の閃光	flashes of lightning from the hands
エフェクト	電気	手に稲妻	lightning in hand
エフェクト	電気	電気	electric
エフェクト	電気	内に稲妻があります	with lightning inside the crystal
エフェクト	凍結	凍った羽	frozfeathers
エフェクト	凍結	氷	ice
エフェクト	氷	雪の結晶	snowflake
エフェクト	魔法	マジックサークル	magic circle
エフェクト	魔法	衣服の結晶化	crystallization of clothes
エフェクト	魔法	渦巻き	swirl
エフェクト	流れ	フローフロー	floating flow
エフェクト	粒子	ほこり	dust
エフェクト	粒子	軽い粒子	light particle
エフェクト	粒子	発光粒子	luminous particles
オブジェクト	オブジェクト	オーナメント	ornament
オブジェクト	オブジェクト	おしっこの水たまり	pee puddle
オブジェクト	オブジェクト	ダンボール箱	cardboard box
オブジェクト	オブジェクト	フラワーズ	flowers
オブジェクト	オブジェクト	ベルとのリーシュ	leash with bell
オブジェクト	オブジェクト	街灯2	street light
オブジェクト	オブジェクト	金網	chain link fence
オブジェクト	オブジェクト	大きな袋	sack
オブジェクト	家具	オーブン	oven
オブジェクト	家具	クローゼット	closet
オブジェクト	家具	ゴミ箱	trash can
オブジェクト	家具	ソファ	couch
オブジェクト	家具	ソファ2	sofa
オブジェクト	家具	テーブル	table
オブジェクト	家具	ベッド	bed
オブジェクト	家具	ベッドシーツ	bed sheet
オブジェクト	家具	ミラー	mirror
オブジェクト	家具	椅子	chair
オブジェクト	家具	電子レンジ	microwave oven
オブジェクト	家具	布団	futon
オブジェクト	家具	壁掛時計	wall clock
オブジェクト	家具	冷蔵庫	refrigerator
オブジェクト	花	ポピー	poppies
オブジェクト	花	花	flower
オブジェクト	花	花の花	flowery flowers
オブジェクト	花	花弁	petal
オブジェクト	花	血の桜	blood cherry blossom
オブジェクト	楽器	スピーカーアンプ	speaker amplifier
オブジェクト	楽器	ドラム	drums
オブジェクト	楽器	マイク	mic
オブジェクト	楽器	楽器全般	instrument
オブジェクト	楽器	楽器全般演奏	playing instrument
オブジェクト	機械	バネ	spring
オブジェクト	機械	時計	clock
オブジェクト	機械	上記の巨大なクロックコア	huge clock core above
オブジェクト	芸術品	金属製の彫刻	metal carving
オブジェクト	建造物	ピラミッド	pyramid
オブジェクト	公共物	フェンス	fence
オブジェクト	公共物	街灯	lamppost
オブジェクト	公共物	自販機	vending machine
オブジェクト	公共物	電線,電柱	power lines
オブジェクト	公共物	電線,電柱2	utility pole
オブジェクト	公共物	電線,電柱3	telephone pole
オブジェクト	自然物	とげ	thorns
オブジェクト	自然物	ブドウ	vines
オブジェクト	自然物	ブランチ	branch
オブジェクト	自然物	海藻	seaweed
オブジェクト	自然物	貝殻	seashell
オブジェクト	自然物	巻き貝	conch
オブジェクト	自然物	逆さまの山	inverted mountain
オブジェクト	自然物	桜	cherry blossoms
オブジェクト	自然物	桜の下	under cherry blossoms
オブジェクト	自然物	桜の木	cherry trees
オブジェクト	自然物	山	mountains
オブジェクト	自然物	草	grass
オブジェクト	自然物	太陽	sun
オブジェクト	自然物	葉	leaves
オブジェクト	小物	VRゴーグル	VR Goggles
オブジェクト	小物	カーテン	curtains
オブジェクト	小物	ケージ	cage
オブジェクト	小物	サッカーボール	soccer ball
オブジェクト	小物	ストロー	straw
オブジェクト	小物	スマホ	smartphones
オブジェクト	小物	タバコ	cigarettes
オブジェクト	小物	タンブラー	tumbler
オブジェクト	小物	チェーン	chains
オブジェクト	小物	パソコン	personal computer
オブジェクト	小物	ランドセル	randoseru
オブジェクト	小物	リュックサック	rucksack
オブジェクト	小物	ロープ	rope
オブジェクト	小物	花瓶	vase
オブジェクト	小物	懐中時計	pocket watch
オブジェクト	小物	掛け布団	quilt
オブジェクト	小物	携帯電話	cellphone
オブジェクト	小物	香炉	censer
オブジェクト	小物	鎖	chain
オブジェクト	小物	手錠	manacles
オブジェクト	小物	水筒	water bottle
オブジェクト	小物	点滴	intravenous drip
オブジェクト	小物	電話	phone
オブジェクト	小物	動物のぬいぐるみ	stuffed animal
オブジェクト	小物	風船	balloon
オブジェクト	小物	本	book
オブジェクト	小物	枕	pillow
オブジェクト	乗り物	スーパーカー	super sports car
オブジェクト	乗り物	スポーツカー	sports car
オブジェクト	乗り物	スポーツバイク	sports motorcycle
オブジェクト	乗り物	トラック	truck
オブジェクト	乗り物	ハーレーダビッドソン	harley-davidson
オブジェクト	乗り物	バイク	motorcycle
オブジェクト	乗り物	宇宙オペラ	space opera
オブジェクト	乗り物	宇宙船	star ship
オブジェクト	乗り物	機関車	locomotive
オブジェクト	乗り物	豪華客船	luxury liner
オブジェクト	乗り物	自転車	bicycles
オブジェクト	乗り物	車	car
オブジェクト	乗り物	車	cars
オブジェクト	乗り物	戦艦	battle ship
オブジェクト	乗り物	電車	train
オブジェクト	電子機器	壊れた画面	brokscreen
オブジェクト	日用品	長い糸	long yarn
オブジェクト	日用品	鳥かご	birdcage
オブジェクト	宝石	ダイヤモンド	diamonds
オブジェクト	宝石	パール	pearl
オプション	オプション	キャラクター	character
オプション	オプション	ジッパー	zipper
オプション	オプション	ホイップクリーム	whipped cream
オプション	オプション	まゆ毛が前髪で隠れている	eyebrows hidden by hair
オプション	オプション	メガネを頭にかける	eyewear on head
オプション	オプション	ワンピースの日焼け跡	one piece tan
オプション	オプション	飴（個包装）	candy
オプション	オプション	飴（棒付き）	lolipop
